| Anh         | Dice      | IoU       |
| 396.png     | 0| 0 |
| 397.png     | 0| 0 |
| 398.png     | 0| 0 |
| 4.png       | 0| 0 |
| 40.png      | 0| 0 |
| 41.png      | 0| 0 |
| 415.png     | 0| 0 |
| 416.png     | 0| 0 |
| 417.png     | 0| 0 |
| 418.png     | 0| 0 |
| 419.png     | 0| 0 |
| 42.png      | 0| 0 |
| 420.png     | 0| 0 |
| 421.png     | 0| 0 |
| 422.png     | 0.0488367          | 0.0250295           |
| 43.png      | 0| 0 |
| 44.png      | 0| 0 |
| 442.png     | 0| 0 |
| 443.png     | 0| 0 |
| 444.png     | 0| 0 |
| 445.png     | 0| 0 |
| 446.png     | 0| 0 |
| 447.png     | 0| 0 |
| 448.png     | 0| 0 |
| 449.png     | 0| 0 |
| 455.png     | 0| 0 |
| 456.png     | 0| 0 |
| 457.png     | 0| 0 |
| 458.png     | 0| 0 |
| 461.png     | 0| 0 |
| 462.png     | 0| 0 |
| 463.png     | 0| 0 |
| 464.png     | 0| 0 |
| 470.png     | 0| 0 |
| 472.png     | 0| 0 |
| 473.png     | 0| 0 |
| 474.png     | 0| 0 |
| 475.png     | 0| 0 |
| 476.png     | 0| 0 |
| 480.png     | 0.00533005           | 0.00267215            |
| 481.png     | 0| 0 |
| 482.png     | 0| 0 |
| 483.png     | 0| 0 |
| 485.png     | 0| 0 |
| 486.png     | 0| 0 |
